style,quality,session_file,relative_path,num_strokes,stroke_csvs_written
Breast,,session_085052e7_20260213_2105.csv,Breast\session_085052e7_20260213_2105.csv,11,11
Breast,,session_30dfba89_20260212_2346.csv,Breast\session_30dfba89_20260212_2346.csv,12,12
Breast,,session_40d89f7c_20260213_2100.csv,Breast\session_40d89f7c_20260213_2100.csv,10,10
Breast,,session_75ddbb8a_20260213_2102.csv,Breast\session_75ddbb8a_20260213_2102.csv,10,10
Breast,,session_794d2a20_20260212_2345.csv,Breast\session_794d2a20_20260212_2345.csv,10,10
Breast,,session_a2ee75ca_20260213_2054.csv,Breast\session_a2ee75ca_20260213_2054.csv,10,10
Breast,,session_a9726e4a_20260212_2351.csv,Breast\session_a9726e4a_20260212_2351.csv,12,12
Breast,,session_ab8eebf9_20260212_2347.csv,Breast\session_ab8eebf9_20260212_2347.csv,15,15
Breast,,session_c83a62ee_20260212_2345.csv,Breast\session_c83a62ee_20260212_2345.csv,12,12
Breast,,session_d1ac1168_20260212_2348.csv,Breast\session_d1ac1168_20260212_2348.csv,10,10
Breast,,session_e0665051_20260419_0147Em.csv,Breast\session_e0665051_20260419_0147Em.csv,16,16
Breast,,session_eb6b35ca_20260213_2059.csv,Breast\session_eb6b35ca_20260213_2059.csv,12,12
Breast,,session_ee217244_20260213_2102.csv,Breast\session_ee217244_20260213_2102.csv,9,9
Breast,,session_f9bf0974_20260213_2058.csv,Breast\session_f9bf0974_20260213_2058.csv,9,9
Breast,,session_ff596b2e_20260213_2059.csv,Breast\session_ff596b2e_20260213_2059.csv,10,10
Butterfly,,cleaned_incorrect.csv,Butterfly\cleaned_incorrect.csv,7,7
Butterfly,,session_4541dc87_20260212_2320.csv,Butterfly\session_4541dc87_20260212_2320.csv,15,15
Butterfly,,session_842d0eb0_20260212_2319.csv,Butterfly\session_842d0eb0_20260212_2319.csv,10,10
Butterfly,,session_956d326b_20260213_2012.csv,Butterfly\session_956d326b_20260213_2012.csv,10,10
Butterfly,,session_a2ee75ca_20260213_2013.csv,Butterfly\session_a2ee75ca_20260213_2013.csv,10,10
Butterfly,,session_a4a8948f_20260213_1938.csv,Butterfly\session_a4a8948f_20260213_1938.csv,10,10
Butterfly,,session_bf7376b9_20260213_1957.csv,Butterfly\session_bf7376b9_20260213_1957.csv,10,10
Butterfly,,session_c968ce39_20260213_2013.csv,Butterfly\session_c968ce39_20260213_2013.csv,8,8
Butterfly,,session_cfd2354d_20260212_2319.csv,Butterfly\session_cfd2354d_20260212_2319.csv,7,7
Butterfly,,session_d65912b8_20260213_2011.csv,Butterfly\session_d65912b8_20260213_2011.csv,12,12
Butterfly,,session_e616b1bd_20260212_2323.csv,Butterfly\session_e616b1bd_20260212_2323.csv,10,10
Butterfly,,session_e74ac642_20260212_2317.csv,Butterfly\session_e74ac642_20260212_2317.csv,9,9
Butterfly,,session_eedf9900_20260212_2323.csv,Butterfly\session_eedf9900_20260212_2323.csv,8,8
Butterfly,,session_f1aad541_20260213_1955.csv,Butterfly\session_f1aad541_20260213_1955.csv,12,12
Butterfly,,session_f557923a_20260212_2317.csv,Butterfly\session_f557923a_20260212_2317.csv,10,10
Butterfly,,session_f5d2857c_20260215_1757.csv,Butterfly\session_f5d2857c_20260215_1757.csv,9,9
Butterfly,,session_f8913fb0_20260221_2120.csv,Butterfly\session_f8913fb0_20260221_2120.csv,13,13
Freestyle,,badfreestyle.csv,Freestyle\badfreestyle.csv,16,16
Freestyle,,badfreestyle2.csv,Freestyle\badfreestyle2.csv,16,16
Freestyle,,badfreestyle3.csv,Freestyle\badfreestyle3.csv,20,20
Freestyle,,goodfree.csv,Freestyle\goodfree.csv,29,29
Freestyle,,goodfreestyle.csv,Freestyle\goodfreestyle.csv,27,27
Freestyle,,goodfreestyle1.csv,Freestyle\goodfreestyle1.csv,27,27
Freestyle,,session_1030406b_20260213_0019.csv,Freestyle\session_1030406b_20260213_0019.csv,13,13
Freestyle,,session_12113382_20260213_0021.csv,Freestyle\session_12113382_20260213_0021.csv,13,13
Freestyle,,session_c100f496_20260215_1653.csv,Freestyle\session_c100f496_20260215_1653.csv,15,15
Freestyle,,session_c370715c_20260215_1753.csv,Freestyle\session_c370715c_20260215_1753.csv,14,14
Freestyle,,session_d71cfbb7_20260213_0018.csv,Freestyle\session_d71cfbb7_20260213_0018.csv,16,16
Freestyle,,session_f2b539ef_20260213_0018.csv,Freestyle\session_f2b539ef_20260213_0018.csv,16,16
Freestyle,,session_f93b493f_20260213_0020.csv,Freestyle\session_f93b493f_20260213_0020.csv,16,16
Freestyle,,session_fd6efa3d_20260213_0023.csv,Freestyle\session_fd6efa3d_20260213_0023.csv,16,16
Freestyle,,sobadfree.csv,Freestyle\sobadfree.csv,19,19
