time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.28,1.442267,-5.832275,6.290047,4.917449926210691,0.2341764705725708,2.997301427698116
0.29,1.442267,-5.832275,6.290047,4.897768685434354,0.3186544117509994,3.1913887492358515
0.3,1.442267,-5.832275,6.290047,4.880547599755059,0.3925726102821245,3.36121515558137
0.31,1.442267,-5.832275,6.290047,4.865479149785676,0.4572510339968589,3.509813261133699
0.32,1.442267,-5.832275,6.290047,4.852294256062466,0.5138446547472516,3.6398366034919865
0.33,0.784436125,-7.470387875,4.497556,4.840757474054658,0.5633640729038452,3.753607028055488
0.34,0.208834109375,-8.903736640625,2.9291263750000005,4.830662789797826,0.6066935637908645,3.853156149548553
0.35,-0.294817654296875,-10.157916810546876,1.5567504531250007,4.821829941073097,0.6446068683170064,3.940261630854984
0.36,-0.7355129475097657,-11.255324459228516,0.3559215214843756,4.81410119843896,0.6777810097773806,4.016478926998111
0.37,-1.1211213290710451,-12.215556151824952,-0.6948037937011713,4.807338548634089,0.7068083835552081,4.083169061123346
0.38,-1.4585286629371643,-13.055758882846831,-1.6141884444885248,4.801421230054827,0.7322073356108072,4.141522928482928
0.39,-1.753760080070019,-13.79093627249098,-2.418650013927459,4.796243576297973,0.7544314186594563,4.192582562422562
0.4,-2.012087570061267,-14.434216488429607,-3.122553887186527,4.791713129260726,0.7738774913270243,4.2372597421197415
0.41,-2.2381241238036083,-14.997086677375906,-3.738469776288211,-39.95537738689686,18.347767679911147,-27.648023725645228
0.42,-2.435906108328157,-15.489598092703918,-4.277396179252184,-79.10908158853475,33.72492159492225,-55.547646759939575
0.43,-2.608965344787137,-15.92054558111593,-4.748956781845661,-113.3685727649679,47.17993127055697,-79.95981691494713
0.44,-2.7603921766887454,-16.29762463347644,-5.161572309114953,-143.3456275443469,58.95306473673735,-101.32046580057872
0.45,-2.892890654602652,-16.627568804291883,-5.522610895475584,-169.57555047630353,69.25455651964518,-120.0110335755064
0.46,-3.0088268227773205,-16.916269953755396,-5.838519658541136,-192.5267330417656,78.26836182968952,-136.3652803785681
0.47,-3.110270969930156,-17.16888345953597,-6.114939826223494,-212.6090177865449,86.15544147597834,-150.67524633124708
0.48,-3.199034598688886,-17.38992027709397,-6.356807472945557,-230.1810169382268,93.05663616648104,-163.1964665398412
0.49,-3.3756023988527755,-19.493086492457223,-4.6244551638273625,-245.5565161959485,99.09518152067092,-174.15253422236106
0.5,-3.5300992239961784,-21.33335693090007,-3.108646893348942,-259.0100780464549,104.37890870558704,-183.73909344456592
0.51,-3.665283945996656,-22.94359356453756,-1.7823146566803243,-270.78194466564804,109.00216999238869,-192.1273327639952
0.52,-3.7835705777470734,-24.35255061897037,-0.6217739495952838,-281.08232795744203,113.0475236183401,-199.4670421684958
0.53,-3.88707138052869,-25.58538804159907,0.3936991691041267,-290.0951633377618,116.5872080410476,-205.88928789743383
0.54,-3.977634582962604,-26.664120786399188,1.282238147966111,-297.9813942955416,119.68443191091664,-211.5087529102546
0.55,-4.056877385092278,-27.60801193809929,2.059709754470347,-304.8818463835989,122.39450279705208,-216.4257847964728
0.56,-4.126214836955743,-28.43391669583688,2.7399974101615534,-310.91974196064905,124.76581482242057,-220.7281876969137
0.57,-4.186885107336275,-29.15658335885727,3.335249108891359,-322.402273965568,128.15321396961798,-226.00216310979948
0.58,-4.239971593919241,-29.78891668900011,3.856094345279939,-332.44948946987193,131.11718822341572,-230.6168915960745
0.59,-4.286422269679336,-30.342208352875097,4.311833927119947,-341.24080303613795,133.71066569548876,-234.6547790215652
0.6,-4.3270666109694185,-30.82633855876571,4.710606061229954,-348.9332024066207,135.97995848355265,-238.1879305188696
0.61,-4.362630409598241,-31.249952488919995,5.05953167857621,-355.6640518557931,137.96558967310858,-241.27943807901087
0.62,-4.393748733398461,-31.620614677804998,5.364841593754185,-361.5535451238189,139.70301696397,-243.9845071941345
0.63,-4.420977266723653,-31.944944093079368,5.631987769534912,-366.7068517333416,141.22326584347377,-246.3514426698677
0.64,-4.444802233383196,-32.22873233144445,5.865740673343049,-371.2159950166739,142.55348361303953,-248.42251121113424
0.65,-4.7456423292102965,-28.43139191501389,6.871289964175167,-375.1614953895897,143.71742416140958,-250.2346961847425
0.66,-5.008877413059009,-25.10871905063716,7.751145593653272,-378.61380821589097,144.7358721412334,-251.82035803664965
0.67,-5.239208111426633,-22.201380294307512,8.521019269446613,-381.6345819389046,145.62701412357922,-253.20781215706845
0.68,-5.440747472498304,-19.657458882519077,9.194658735765788,-384.2777589465416,146.4067633581318,-254.42183451243488
0.69,-5.617094413436016,-17.431527647204188,9.784093268795065,-386.5905388282239,147.08904393836534,-255.4841040733805
0.7,-5.771397986756514,-15.483837816303664,10.29984848519568,-388.6142212246959,147.68603944606966,-256.41358993920795
0.71,-5.90641361341195,-13.779609214265706,10.75113429954622,-390.3849433216089,148.20841051531096,-257.22689007180696
0.72,-6.024552286735457,-12.288409187482491,11.14600938710294,-391.9343251564078,148.66548520089708,-257.9385276878311
0.73,-6.127923625893525,-10.98360916404718,11.491525088715074,-294.8875331368568,173.15855067578494,-224.8080867268522
0.74,-6.218373547656834,-9.841909143541285,11.793851327625688,-209.9715901197497,194.58998296631185,-195.8189508859957
0.75,-6.29751722919973,-8.842921625598622,12.058386786672475,-135.67013997978097,213.3424862205229,-170.4534570252462
